canonical_client_name,migration_branch,branch_head_sha,artifact_paths,migration_status,client_id,identity_resolved,contact_audit_5_part,unconverted_contact_footer_evidence,entity_scope_requirements,unresolved_blocker,classification
"Case Bloemfontein","client-migration-case-bloemfontein-2026-09-08","2ab107bc61e0407c3fd729df1199112a2c685395","docs/ai-workforce/client-intelligence/CASE-BLOEMFONTEIN-CHATGPT-PROJECT-MIGRATION-AUDIT-2026-09-08.md;docs/ai-workforce/client-intelligence/CASE-BLOEMFONTEIN-CLIENT-MARKETING-INTELLIGENCE-2026-08.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","079df21e-783a-4648-b3fa-0acae6e68867","YES","NO","YES","exact local dealer; do not fall back to national CASE facts","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
"Central Canvas","client-migration-central-canvas-2026-09-08","63b3683694c8662a6d9b4666ddf18bf3d1031a3a","docs/ai-workforce/client-intelligence/CENTRAL-CANVAS-CHATGPT-PROJECT-MIGRATION-AUDIT-2026-09-08.md;docs/ai-workforce/client-intelligence/CENTRAL-CANVAS-CLIENT-MARKETING-INTELLIGENCE-2026-08.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","6b313cac-283e-48c4-9df6-ba43af2f7353","YES","NO","YES","exact client only","extract five-part audit and preserve unresolved contact conflicts","NEEDS_EVIDENCE_EXTRACTION"
"CG Production House","client-migration-cg-production-house-2026-09-08","22cefb3da4ffa4e00f25fbdd3700b7ccbbd4962e","docs/ai-workforce/client-intelligence/CG-PRODUCTION-HOUSE-CANONICAL-CLIENT-INTELLIGENCE-2026-09.md","MIGRATION_COMPLETE;PROJECT_INSTRUCTIONS_APPLIED_2026-09-09","c27d2185-08e4-4c49-be48-2572564ceecf","YES","YES","NO","CG Production House only; never merge with CG Dynamics, CG ARCC or CG Design Solutions","artifact audit is final; live #247 backfill/runtime remains","ALREADY_FINAL"
"Daisy & Co","client-migration-daisy-co-2026-09-08","cca107e5959e42f76dfb41288d2e7fafbd670373","docs/ai-workforce/client-intelligence/DAISY-CO-BLOEMFONTEIN-CLIENT-MARKETING-INTELLIGENCE-2026-08.md;docs/ai-workforce/client-intelligence/DAISY-CO-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/DAISY-CO-CHATGPT-PROJECT-MIGRATION-AUDIT-2026-09-08.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","3404f726-a693-4b2d-8c13-c9d3dfd17bbc","YES","NO","YES","exact client only","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
"Delta Gas","client-migration-delta-gas-2026-09-08","6a7ce096e407eb31a5b238ba4c63a2ce2c7e5d17","docs/ai-workforce/client-intelligence/DELTA-GAS-BLOEMFONTEIN-CLIENT-MARKETING-INTELLIGENCE-2026-08.md;docs/ai-workforce/client-intelligence/DELTA-GAS-CG-DYNAMICS-CLIENT-GUIDE.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","06b20bb1-ed4a-4aa1-9f48-8c6cb0531aba","YES","NO","YES","exact client only; mutable product/service claims remain task-scoped","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
"Dulux Bloemfontein","client-migration-dulux-bloemfontein-2026-09-08","5db7702ec269fbeaf7fa4a464ec6ebc583fe5ed6","docs/ai-workforce/client-intelligence/DULUX-PAINT-PAPER-BLOEMFONTEIN-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/DULUX-PAINT-PAPER-BLOEMFONTEIN-CLIENT-MARKETING-INTELLIGENCE-2026-08.md","MIGRATION_COMPLETE;HANDOFF_RECONCILIATION_IN_247","","PARTIAL_EXACT_NAME_FAIL_CLOSED","NO","YES","local Bloemfontein store only; national Dulux is supporting evidence, not identity","durable Dynamics client_id missing; possible duplicate salvage remains","IDENTITY_BLOCKED"
"Econofoods","client-migration-econofoods-2026-09-08","6164d78d39628b25a6166ad42a4be6c9426a53ed","docs/ai-workforce/client-intelligence/ECONOFOODS-CHATGPT-PROJECT-MIGRATION-AUDIT-2026-09-08.md;docs/ai-workforce/client-intelligence/ECONOFOODS-SOUTH-AFRICA-VIDEO-COMMERCIAL-PLAYBOOK-2026-08.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","61acf81b-1011-404e-9fae-2e209be65fca","YES","NO","YES","exact Econofoods client; campaigns/offers require current scope","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
"Ehrlich Park Butchery","client-migration-ehrlich-park-butchery-2026-09-08","5aa73d999ed06345162cdb89b8ebb5fbccdf949a","docs/ai-workforce/client-intelligence/EHRLICH-PARK-BUTCHERY-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/EHRLICH-PARK-BUTCHERY-CLIENT-MARKETING-INTELLIGENCE-2026-08.md;docs/ai-workforce/client-intelligence/EHRLICH-PARK-BUTCHERY-PROJECT-MIGRATION-AUDIT-2026-09-08.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","ec643c75-51f5-4839-829f-3f5b7f48829a","YES","NO","YES","exact local butchery only","extract five-part audit and preserve unresolved contact conflicts","NEEDS_EVIDENCE_EXTRACTION"
"Emmanuel Funerals","client-migration-emmanuel-funerals-2026-09-08","bf319f00380c8d597cc0681f1eda708409a41779","docs/ai-workforce/client-intelligence/EMMANUEL-FUNERAL-SERVICES-BLOEMFONTEIN-CLIENT-MARKETING-INTELLIGENCE-2026-08.md;docs/ai-workforce/client-intelligence/EMMANUEL-FUNERALS-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/EMMANUEL-FUNERALS-CHATGPT-PROJECT-MIGRATION-AUDIT-2026-09-08.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","d53d8e62-9e6a-4bb9-be3f-554f40942d45","YES","NO","YES","exact client only","extract five-part audit; raw Project history was incomplete","NEEDS_EVIDENCE_EXTRACTION"
"Emoya Estate Driving Range","client-migration-emoya-driving-range-2026-09-08","7db320ba78fa8d77e585f8c0dd6f24b037699655","docs/ai-workforce/client-intelligence/EMOYA-DRIVING-RANGE-BLOEMFONTEIN-CLIENT-MARKETING-INTELLIGENCE-2026-08.md;docs/ai-workforce/client-intelligence/EMOYA-ESTATE-DRIVING-RANGE-CG-DYNAMICS-CLIENT-GUIDE.md","MIGRATION_COMPLETE;PROJECT_INSTRUCTIONS_APPLIED_2026-09-09","217a547c-7b22-45cc-bf88-9d45a8e93dfe","YES","YES","NO","Driving Range only; wider Emoya Estate hospitality facts and TBS source are excluded","history review remains; no contact-audit reconstruction needed","ALREADY_FINAL"
"First Technology Central","client-migration-first-technology-central-2026-09-08","d47954305eb6f0aa79ebd3775abfb7d75b0a2afa","docs/ai-workforce/client-intelligence/FIRST-TECHNOLOGY-CENTRAL-BLOEMFONTEIN-CLIENT-MARKETING-INTELLIGENCE-2026-08.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","c8d34a97-8400-4f52-8b0d-843491fe3d3b","YES","NO","YES","Central/Bloemfontein entity only; no national or sibling-office fallback","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
"Forklift Trucks","client-migration-forklift-trucks-2026-09-08","e9335fe2a4163e326b905aa644f6206ace819f5a","docs/ai-workforce/client-intelligence/FORKLIFT-TRUCKS-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/FORKLIFT-TRUCKS-CLIENT-OPERATIONAL-INTELLIGENCE-2026-09.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","4424ed69-7270-4d30-a1ea-0b77d76912df","YES","NO","YES","exact client only","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
"Germoparts","client-migration-germoparts-2026-09-08","e808404571ba985201f8e639bd1c50434d5ba25e","docs/ai-workforce/client-intelligence/GERMOPARTS-BLOEMFONTEIN-MAJOR-CLIENT-MARKETING-INTELLIGENCE-2026-08.md;docs/ai-workforce/client-intelligence/GERMOPARTS-CHATGPT-PROJECT-MIGRATION-AUDIT-2026-09-08.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","b6052710-417d-4b3b-8348-0f126bfea671","YES","NO","YES","exact client only","extract five-part audit; Project/source coverage was incomplete","NEEDS_EVIDENCE_EXTRACTION"
"Hino Trucks","client-migration-hino-trucks-2026-09-08","57411cca291031ce8dc40f23d7227016a915dc3b","docs/ai-workforce/client-intelligence/HINO-ORANJE-BLOEMFONTEIN-CLIENT-MARKETING-INTELLIGENCE-2026-08.md;docs/ai-workforce/client-intelligence/HINO-TRUCKS-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/HINO-TRUCKS-CLIENT-MARKETING-INTELLIGENCE-2026-09.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","1007e58b-3fea-4515-88b7-ddaa85763de6","YES","NO","YES","exact local Hino Trucks identity; national/Hino Oranje evidence is scoped provenance","extract five-part audit; possible duplicate salvage remains","NEEDS_EVIDENCE_EXTRACTION"
"HMHI","client-migration-hmh-attorneys-2026-09-08","7e44edb52906f319d8f2355eb25e3cbfd2423c13","docs/ai-workforce/client-intelligence/HILL-MCHARDY-HERBST-INC-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/HILL-MCHARDY-HERBST-INC-CLIENT-MARKETING-INTELLIGENCE-2026-09.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","572555e0-d4d0-404a-8d67-beeeeed6a1f2","YES","NO","YES","Hill McHardy Herbst Inc exact entity; Lydenburg HMH is quarantined","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
"Human Auto","client-migration-human-auto-2026-09-08","08e30839d533852a655b36e7b9c9fadb724e8ee8","docs/ai-workforce/client-intelligence/HUMAN-AUTO-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/HUMAN-AUTO-CLIENT-OPERATIONAL-INTELLIGENCE-2026-09.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","816c7f59-d56c-46a3-ba15-f76971d83769","YES","NO","YES","exact Human Auto client; dealer/model/branch facts require current evidence","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
"Ipopeng Office Supplies","client-migration-ipopeng-office-supplies-2026-09-08","785a60a0e57cedafa6c4b4a71f0ac6235eefec3f","docs/ai-workforce/client-intelligence/IPOPENG-OFFICE-SUPPLIES-CLIENT-INTELLIGENCE-2026-09.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","2e643855-e2ad-481f-a6c6-3d934b9f4a50","YES","NO","YES","exact client only","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
"Jenkor","client-migration-jenkor-2026-09-08","28105226a83716865f9af6a6adca7a3ce7186cb3","docs/ai-workforce/client-intelligence/JENKOR-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/JENKOR-CLIENT-OPERATIONAL-INTELLIGENCE-2026-09.md;docs/ai-workforce/client-intelligence/JENKOR-PROJECT-MIGRATION-AUDIT-2026-09-08.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","a5eab798-3e00-44cc-947e-463386fdac39","YES","NO","YES","exact client only","extract five-part audit and preserve unresolved contact conflicts","NEEDS_EVIDENCE_EXTRACTION"
"Local Deli","client-migration-local-deli-2026-09-08","ed343124e48925e2d66dd78958fd87989c14f611","docs/ai-workforce/client-intelligence/LOCAL-DELI-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/LOCAL-DELI-CLIENT-MARKETING-INTELLIGENCE-2026-09.md;docs/ai-workforce/client-intelligence/LOCAL-DELI-PROJECT-MIGRATION-AUDIT-2026-09-08.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","2a5ea019-64f5-4f8e-8a61-61a28940aa6e","YES","NO","YES","exact local deli only","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
"Loraclox","client-migration-loraclox-2026-09-08","63ca07a17017cab34ed92eaae069938f9185d308","docs/ai-workforce/client-intelligence/LORACLOX-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/LORACLOX-CLIENT-MARKETING-INTELLIGENCE-2026-09.md","MIGRATION_COMPLETE;PROJECT_INSTRUCTIONS_APPLIED_2026-09-09","21300630-6755-4591-9a49-e22abbaf7e3d","YES","NO","YES","electronic-security/CCTV client only; never infer health-product identity","extract five-part audit and preserve unresolved contact conflicts","NEEDS_EVIDENCE_EXTRACTION"
"Madison Wear","client-migration-madison-wear-2026-09-08","52b90ef46a63786730abad7b00dc6b14e1080b36","docs/ai-workforce/client-intelligence/MADISON-WEAR-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/MADISON-WEAR-CLIENT-OPERATIONAL-INTELLIGENCE-2026-09.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","7b47afb0-fa55-4916-85f6-09c57e5905b9","YES","NO","YES","exact client only","extract five-part audit and preserve unresolved contact conflicts","NEEDS_EVIDENCE_EXTRACTION"
"Mimosa Mall","client-migration-mimosa-mall-2026-09-08","df77b027ef59a3c218e6337b8fa728c0466b9052","docs/ai-workforce/client-intelligence/MIMOSA-MALL-CLIENT-MARKETING-INTELLIGENCE-2026-09.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","e276f019-a580-44c5-a7ab-e43840c33a64","YES","NO","YES","exact mall identity; tenant/event contacts remain task-scoped","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
"NCNA","client-migration-ncna-2026-09-08","fb401c0c838ebdce5f153cc55bfd10529b2fec5b","docs/ai-workforce/client-intelligence/NCNA-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/NCNA-CLIENT-MARKETING-INTELLIGENCE-2026-09.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_COMPLETE_ISSUE_304_CLOSED","94fe2568-3cf1-47dc-801e-d8d5396a0965","YES","YES","NO","NCNA/Northern Cape Nature Academy exact client; course/location scopes remain explicit","history review and unresolved GPS/location conflict remain; audit structure is final","ALREADY_FINAL"
"Novus Steel","client-migration-novus-steel-2026-09-08","dba733f761c897653b5a281dae044d04e0361555","docs/ai-workforce/client-intelligence/NOVUS-STEEL-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/NOVUS-STEEL-CLIENT-OPERATIONAL-INTELLIGENCE-2026-09.md;docs/ai-workforce/client-intelligence/NOVUS-STEEL-PROJECT-MIGRATION-AUDIT-2026-09-08.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","4236a60a-990f-484f-8d19-13d2f92fbe3b","YES","NO","YES","exact client only","extract five-part audit and preserve unresolved contact conflicts","NEEDS_EVIDENCE_EXTRACTION"
"Peyper Bonds","client-migration-peyper-bonds-2026-09-08","bbf466cecbdef846a9370352caf59960d0116f60","docs/ai-workforce/client-intelligence/PEYPER-BONDS-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/PEYPER-BONDS-CLIENT-MARKETING-INTELLIGENCE-2026-09.md;docs/ai-workforce/client-intelligence/PEYPER-BONDS-PROJECT-MIGRATION-AUDIT-2026-09-08.md","MIGRATION_COMPLETE;PROJECT_INSTRUCTIONS_APPLIED_2026-09-09","a8dc70e6-fb42-4fbd-8a38-ce5f53fdee4b","YES","NO","YES","bond-originator client only; do not infer legal/conveyancing entity scope","extract five-part audit and preserve unresolved contact conflicts","NEEDS_EVIDENCE_EXTRACTION"
"Piek Group","client-migration-piek-group-2026-09-08","06986fa0de259a22001fbdcbfd86cf2e1bc0b9d5","docs/ai-workforce/client-intelligence/PIEK-GROUP-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/PIEK-GROUP-CLIENT-OPERATIONAL-INTELLIGENCE-2026-09.md;docs/ai-workforce/client-intelligence/PIEK-GROUP-PROJECT-MIGRATION-AUDIT-2026-09-08.md","MIGRATION_COMPLETE;PROJECT_INSTRUCTIONS_APPLIED_2026-09-09","ed7aa1ae-de21-4151-a8f9-54796b234c1f","YES","NO","YES","preserve Piek Group, Engen, Sasol, Get Together and site-partner branch/entity scopes","extract five-part audit; .com publishing email versus official .co.za conflict remains","NEEDS_EVIDENCE_EXTRACTION"
"PSG Bloemfontein","client-migration-psg-bloemfontein-2026-09-08","322b28b6f63ec222517d3cb4190e4abfda4ac843","docs/ai-workforce/client-intelligence/PSG-BLOEMFONTEIN-CHATGPT-PROJECT-MIGRATION-AUDIT-2026-09-08.md;docs/ai-workforce/client-intelligence/PSG-BLOEMFONTEIN-CLIENT-MARKETING-INTELLIGENCE-2026-09.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","29a28efd-c998-45e2-a57c-4a751e779e66","YES","NO","YES","exact Bloemfontein office; no national/other-office contact fallback","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
"RC-Polypipe","client-migration-rc-polypipe-2026-09-08","16473b409df988723f8b134ae4c0703492517497","docs/ai-workforce/client-intelligence/RC-POLYPIPE-CHATGPT-PROJECT-MIGRATION-AUDIT-2026-09-08.md;docs/ai-workforce/client-intelligence/RC-POLYPIPE-CLIENT-MARKETING-INTELLIGENCE-2026-09.md","MIGRATION_COMPLETE;PROJECT_INSTRUCTIONS_APPLIED_2026-09-09","4f6106de-c437-404e-8cef-fbe848de0665","YES","NO","YES","exact manufacturer/client only; technical claims remain source-scoped","extract five-part audit; footer structure is not yet explicit","NEEDS_EVIDENCE_EXTRACTION"
"Red Oak","client-migration-red-oak-2026-09-08","aaca2bffb70bf41e92968cd5275b300dbad1ef10","docs/ai-workforce/client-intelligence/RED-OAK-CHATGPT-PROJECT-MIGRATION-AUDIT-2026-09-08.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","cdb11a82-339e-4b46-9b09-bde1a23efeaf","YES","NO","YES","Red Oak only; never use The Staffordshire contacts or identity","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
"SecuriForce","client-migration-securiforce-2026-09-08","ccd3550c7d34a09973c627c5a740a826687f50a7","docs/ai-workforce/client-intelligence/SECURIFORCE-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/SECURIFORCE-CLIENT-MARKETING-INTELLIGENCE.md","MIGRATION_COMPLETE;PROJECT_INSTRUCTIONS_APPLIED_2026-09-09","83063815-30a2-4cf2-abb6-2034e746f6d4","YES","NO","YES","exact SecuriForce client; related asset UUIDs are not client identities","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
"Supa Quick BFN","client-migration-supa-quick-bfn-2026-09-08","97ec81d5302289c1968605221a3a82f473a0d495","docs/ai-workforce/client-intelligence/SUPA-QUICK-BFN-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/SUPA-QUICK-BFN-CLIENT-MARKETING-INTELLIGENCE-2026-09.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","a60b4d07-0a30-4f1c-8d48-7bd9ea649c97","YES","NO","YES","BFN only; never fall back to Centurion, WiseRide or Wiseman Group","extract five-part audit and preserve sibling-entity contact conflicts","NEEDS_EVIDENCE_EXTRACTION"
"Supa Quick Centurion","client-migration-supa-quick-centurion-2026-09-08","4bd35988f5f4eb4f8c80d40e791712d538c3c300","docs/ai-workforce/client-intelligence/SUPA-QUICK-CENTURION-CG-DYNAMICS-CLIENT-GUIDE.md;docs/ai-workforce/client-intelligence/SUPA-QUICK-CENTURION-CLIENT-MARKETING-INTELLIGENCE-2026-09.md","MIGRATION_COMPLETE;PROJECT_HANDOFF_CONFIRMED","e2870110-930c-4e63-b2fe-c858030f7258","YES","NO","YES","Centurion only; never fall back to BFN, WiseRide or Wiseman Group","extract and classify all five #294 contact categories","NEEDS_EVIDENCE_EXTRACTION"
